username,bio,location,target_population,locals_vs_diaspora,person_vs_organization,comments,source_consensus
Arabhebre,,,1,1,0,,iteration_2_consensus
Hollandia_il,,,1,1,0,,iteration_2_consensus
yoaveven,,,1,1,1,,iteration_2_consensus
YMalulu,,,1,1,1,,iteration_2_consensus
tomweg,,,1,1,1,,iteration_2_consensus
UriSadot,,,1,1,1,,iteration_2_consensus
EmekShaveh,,,1,1,0,,iteration_2_consensus
itamarfleishe,,,1,1,1,,iteration_2_consensus
uriweltmann,,,1,1,1,,iteration_2_consensus
Roni_katz1,,,1,1,1,,iteration_2_consensus
Energy_IL,,,1,1,0,,iteration_2_consensus
MariaGArocha,,,0,0,1,,iteration_2_consensus
lopoter,,,1,1,1,,iteration_2_consensus
hadarseg,,,1,1,1,,iteration_2_consensus
marymauldin,,,0,0,1,,iteration_2_consensus
adamscottbellos,,,1,1,1,,iteration_2_consensus
amaliadoron,,,1,1,1,,iteration_2_consensus
AR__PU,,,2,2,2,,iteration_2_consensus
moshes2912,,,1,1,1,,iteration_2_consensus
EstyS,,,1,1,1,,iteration_2_consensus
AdrielBeneviste,,,1,1,1,,iteration_2_consensus
BerentMoshe,,,1,1,1,,iteration_2_consensus
democratechil,,,1,1,0,,iteration_2_consensus
Uvda_tweet,,,1,1,0,,iteration_2_consensus
Tani_Frank,,,1,1,1,,iteration_2_consensus
israzohar,,,1,1,1,,iteration_2_consensus
MichalBenArii,,,1,1,1,,iteration_2_consensus
MarkLevineNYC,,,0,0,1,,iteration_2_consensus
gnz_ysr,,,1,1,1,,iteration_2_consensus
BigStivo_,,,1,1,1,,iteration_2_consensus
dont_make_afuss,,,1,1,1,,iteration_2_consensus
elbazr5,,,1,1,1,,iteration_2_consensus
mz_nh45180,,,1,1,0,,iteration_2_consensus
uricirlin1,,,1,1,1,,iteration_2_consensus
Epoch_Magazine,,,1,1,0,,iteration_2_consensus
EFischberger,,,1,1,1,,iteration_2_consensus
moriatshuva1,,,1,1,1,,iteration_2_consensus
QskGMqpKbSuU0vm,,,1,1,1,,iteration_2_consensus
SivanRahav,,,1,1,1,,iteration_2_consensus
envirohaaretz,,,1,1,1,,iteration_2_consensus
eliahu51,,,1,1,1,,iteration_2_consensus
Schlesinger23,,,1,1,1,,iteration_2_consensus
j_damari,,,1,1,1,,iteration_2_consensus
LahavHarkov,,,1,1,1,,iteration_2_consensus
MottyFarangy,,,1,1,1,,iteration_2_consensus
JMileiElecto,,,2,2,2,,iteration_2_consensus
TalShamay,,,1,1,1,,iteration_2_consensus
BradSherman,,,0,0,1,,iteration_2_consensus
sergio_barbanti,,,0,0,1,,iteration_2_consensus
ERSpeiser,,,1,1,1,,iteration_2_consensus
amirshuan,,,1,1,1,,iteration_2_consensus
NaorGozlan,,,1,0,1,,iteration_2_consensus
mordiamar,,,1,1,1,,iteration_2_consensus
Lauren_Provost,,,0,0,1,,iteration_2_consensus
Yesh_Din,,,1,1,0,,iteration_2_consensus
ElfeVan,,,0,0,2,,iteration_2_consensus
asafzamir,,,1,1,1,,iteration_2_consensus
Motek_mordehay,,,1,1,1,,iteration_2_consensus
udi_hir,,,1,1,1,,iteration_2_consensus
netanelgamss,,,1,1,1,,iteration_2_consensus
david_lisovtsev,,,1,1,1,,iteration_2_consensus
Salansar1,,,0,0,1,,iteration_2_consensus
rosnersdomain,,,1,1,1,,iteration_2_consensus
daniellebett,,,1,0,1,,iteration_2_consensus
lewinthal,,,1,1,1,,iteration_2_consensus
InShifrasArms,,,0,0,0,,iteration_2_consensus
faniaoz,,,1,1,1,,iteration_2_consensus
YuvalDavid,,,1,0,1,,iteration_2_consensus
FinkAl1985,,,1,1,1,,iteration_2_consensus
brcohen,,,1,0,1,,iteration_2_consensus
ShukiFriedman,,,1,1,1,,iteration_2_consensus
JewishWarrior13,,,0,0,1,,iteration_2_consensus
renegade_Kathy,,,0,0,1,,iteration_2_consensus
ShaiDavidai,,,1,0,1,,iteration_2_consensus
tafsikorg,,,0,0,0,,iteration_2_consensus
HammelJill,,,0,0,1,,iteration_2_consensus
JewishJournal,,,0,0,1,,iteration_2_consensus
VerminusM,,,1,0,1,,iteration_2_consensus
HagitHalali,,,1,1,1,,iteration_2_consensus
SethAnziska,,,0,0,1,,iteration_2_consensus
DianaDNovik,,,0,0,1,,iteration_2_consensus
liv_laynee,,,0,0,1,,iteration_2_consensus
JewishConnectiv,,,0,0,1,,iteration_2_consensus
Beit_Avi_Chai,,,1,1,0,,iteration_2_consensus
RGrice_colorado,,,0,0,1,,iteration_2_consensus
ShacharFriedman,,,1,1,1,,iteration_2_consensus
LeviYonit,,,1,1,1,,iteration_2_consensus
rcjmason,,,0,0,1,,iteration_2_consensus
oferernar,,,1,1,1,,iteration_2_consensus
RSemah,,,1,1,1,,iteration_2_consensus
DavidLifshitz,,,1,1,1,,iteration_2_consensus
YossiMarshak,,,1,1,1,,iteration_2_consensus
shaydotve,,,1,1,1,,iteration_2_consensus
ArielAvni1,,,1,1,1,,iteration_2_consensus
ugiyut_abadi,,,1,1,1,,iteration_2_consensus
Kfir_glass12,,,1,1,1,,iteration_2_consensus
adikahaner,,,1,1,1,,iteration_2_consensus
Eliezer_yehoda,,,1,1,1,,iteration_2_consensus
IlanLukatch,,,1,1,1,,iteration_2_consensus
Hi_Its_Oz,,,1,1,1,,iteration_2_consensus
OnceAnAngel18,,,1,1,1,,iteration_2_consensus
fridman_liran,,,1,1,1,,iteration_2_consensus
Secury3759,,,0,0,1,,iteration_2_consensus
Pink,,,0,0,1,,iteration_2_consensus
selenagomez,,,0,0,1,,iteration_2_consensus
marieclaire,,,0,0,1,,iteration_2_consensus
Drake,,,0,0,1,,iteration_2_consensus
pitbull,,,0,0,1,,iteration_2_consensus
NiallOfficial,,,0,0,0,,iteration_2_consensus
GavishAmit,,,1,1,1,,iteration_2_consensus
kobizal,,,1,1,1,,iteration_2_consensus
dormoalem,,,1,1,1,,iteration_2_consensus
RozenNir,,,1,1,1,,iteration_2_consensus
drorrefael,,,1,1,1,,iteration_2_consensus
Marikbrest,,,0,0,1,,iteration_2_consensus
haakravit,,,1,1,1,,iteration_2_consensus
yaakovmatan,,,1,1,1,,iteration_2_consensus
erezcarmel,,,1,1,1,,iteration_2_consensus
MaarivOnline,,,1,1,0,,iteration_2_consensus
SculptorMo,,,0,0,1,,iteration_2_consensus
Galgush,,,1,1,1,,iteration_2_consensus
Zahavim2,,,1,1,1,,iteration_2_consensus
Slonim,,,1,1,1,,iteration_2_consensus
regev_miri,,,1,1,1,,iteration_2_consensus
MBlumenblat,,,1,1,1,,iteration_2_consensus
dushi120,,,1,1,1,,iteration_2_consensus
Jane_Bordo,,,1,1,1,,iteration_2_consensus
GalLevanon,,,0,0,1,,iteration_2_consensus
Hakufsah,,,1,1,1,,iteration_2_consensus
rafiaboulafia,,,1,1,1,,iteration_2_consensus
yigalon,,,1,1,1,,iteration_2_consensus
tzur_eran,,,1,1,1,,iteration_2_consensus
PINIBalili383,,,1,1,1,,iteration_2_consensus
renanafriedman,,,1,1,1,,iteration_2_consensus
nitzan_levy29,,,1,1,1,,iteration_2_consensus
OmerMaman5,,,1,1,1,,iteration_2_consensus
shilonavi,,,1,1,1,,iteration_2_consensus
AdvHimi,,,1,1,1,,iteration_2_consensus
IdanMartin1,,,1,1,1,,iteration_2_consensus
segal_ariella,,,1,1,1,,iteration_2_consensus
yanirs14,,,1,1,1,,iteration_2_consensus
OmriTal_,,,1,1,1,,iteration_2_consensus
AVI_MAOZ,,,1,1,1,,iteration_2_consensus
HadasSheinfeld,,,1,1,1,,iteration_2_consensus
Sea_Wave,,,1,1,1,,iteration_2_consensus
F4TMONK3Y,,,1,1,1,,iteration_2_consensus
MLoeub,,,1,1,1,,iteration_2_consensus
sheziff,,,1,1,1,,iteration_2_consensus
bodkim2022,,,1,1,0,,iteration_2_consensus
HermannItai,,,1,1,1,,iteration_2_consensus
nton_eldar,,,1,1,1,,iteration_2_consensus
Mishel_pru,,,1,1,1,,iteration_2_consensus
EurovisionewsIL,,,1,1,0,,iteration_2_consensus
roni66666666,,,1,1,1,,iteration_2_consensus
Uri__Cohen,,,1,1,1,,iteration_2_consensus
itay_itayasher,,,1,1,1,,iteration_2_consensus
dukidror,,,1,1,1,,iteration_2_consensus
yreguer,,,1,1,1,,iteration_2_consensus
brandoneliscott,,,0,0,1,,iteration_3_manual_labeling
GermanosPeter,,,0,0,1,,iteration_3_manual_labeling
liorz,,,1,1,1,,iteration_3_manual_labeling
dmauas,,,1,1,1,,iteration_3_manual_labeling
rubenanguiano,,,0,0,1,,iteration_3_manual_labeling
danieldor8,,,1,1,1,,iteration_3_manual_labeling
AnnePolichetti,,,0,0,1,,iteration_3_manual_labeling
SimyBenarroch,,,2,0,1,,iteration_3_manual_labeling
SimNasr,,,0,0,1,,iteration_3_manual_labeling
peterhimmelman,,,1,0,1,,iteration_3_manual_labeling
Aline82547182,,,1,1,1,,iteration_3_manual_labeling
Hey_AmIwrite,,,1,1,1,,iteration_3_manual_labeling
Notbackactually,,,1,1,1,,iteration_3_manual_labeling
abierkhatib,,,0,0,0,,iteration_3_manual_labeling
guidoolimpio,,,2,2,1,,iteration_3_manual_labeling
Valerie_Harper1,,,2,0,1,,iteration_3_manual_labeling
Lem4,,,1,1,1,,iteration_3_manual_labeling
The_Shuli_M,,,1,1,1,,iteration_3_manual_labeling
ShaharTzafrir,,,1,1,1,,iteration_3_manual_labeling
3rd_call,,,2,2,2,,iteration_3_manual_labeling
AmbModiEphraim,,,1,1,1,,iteration_3_manual_labeling
VeraBaboun,,,0,0,1,,iteration_3_manual_labeling
hnonoo75,,,0,0,1,,iteration_3_manual_labeling
ronenhoffman,,,1,2,1,,iteration_3_manual_labeling
HaimRegev,,,1,0,1,,iteration_3_manual_labeling
EkalMoses,,,0,0,1,,iteration_3_manual_labeling
BenStiller,,,0,0,1,,iteration_3_manual_labeling
ciguleva,,,0,0,1,,iteration_3_manual_labeling
imserioslyRafi,,,1,0,1,,iteration_3_manual_labeling
barbendavid,,,1,1,1,,iteration_3_manual_labeling
IsraelinLA,,,1,0,0,,iteration_3_manual_labeling
boazhepner,,,2,0,1,,iteration_3_manual_labeling
GMJuditPolgar,,,0,0,1,,iteration_3_manual_labeling
nikolaosvandam,,,0,0,1,,iteration_3_manual_labeling
MfaEgypt,,,0,0,1,,iteration_3_manual_labeling
IRF_Ambassador,,,2,2,2,,iteration_3_manual_labeling
Hamedinai,,,1,1,1,,iteration_3_manual_labeling
amitharp,,,1,2,1,,iteration_3_manual_labeling
1LinePerDay,,,1,1,1,,iteration_3_manual_labeling
Shadrack_NBSO,,,0,0,1,,iteration_3_manual_labeling
YNHallak,,,0,0,1,,iteration_3_manual_labeling
Desert_Eagle_,,,0,0,1,,iteration_3_manual_labeling
TomCottonAR,,,0,0,1,,iteration_3_manual_labeling
chiproytx,,,0,0,1,,iteration_3_manual_labeling
Hind_Gaza,,,0,0,1,,iteration_3_manual_labeling
YoniHaimovich,,,1,1,1,,iteration_3_manual_labeling
yollancohen,,,1,1,1,,iteration_3_manual_labeling
NeatManIL,,,1,1,1,,iteration_3_manual_labeling
EldadYaronMedia,,,1,0,1,,iteration_3_manual_labeling
hotnoshboston,,,0,0,2,,iteration_3_manual_labeling
HaYehudim_Baim,,,1,1,0,,iteration_3_manual_labeling
CBeyar,,,1,1,1,,iteration_3_manual_labeling
snirdesign,,,1,1,1,,iteration_3_manual_labeling
odaskal,,,1,1,1,,iteration_3_manual_labeling
barakbl,,,1,1,1,,iteration_3_manual_labeling
yanivbiton99,,,1,1,1,,iteration_3_manual_labeling
i24NEWS_AR,,,1,1,0,,iteration_3_manual_labeling
LiranHaroni,,,1,1,1,,iteration_3_manual_labeling
P_Klochendler,,,1,1,1,,iteration_3_manual_labeling
frankmelloul,,,1,1,1,,iteration_3_manual_labeling
hagaigolan101,,,1,1,1,,iteration_3_manual_labeling
LapidusZal86760,,,2,2,1,,iteration_3_manual_labeling
isaachaberman,,,2,0,1,,iteration_3_manual_labeling
MOC_Israel,,,1,1,0,,iteration_3_manual_labeling
gMnukAg0bYx3jAY,,,1,1,1,,iteration_3_manual_labeling
OmriBarak,,,1,1,1,,iteration_3_manual_labeling
bumerit1000,,,1,1,1,,iteration_3_manual_labeling
MDarabaner,,,1,1,1,,iteration_3_manual_labeling
ISRAELJAITOVICH,,,2,0,1,,iteration_3_manual_labeling
SpiritRider1,,,1,1,1,,iteration_3_manual_labeling
jereisrael,,,0,0,1,,iteration_3_manual_labeling
YouthViolenceIL,,,0,0,0,,iteration_3_manual_labeling
Meir_Marciano,,,1,1,1,,iteration_3_manual_labeling
dorel310,,,1,1,1,,iteration_3_manual_labeling
erezruby,,,1,1,1,,iteration_3_manual_labeling
talibrill,,,1,1,1,,iteration_3_manual_labeling
guypines,,,1,1,0,,iteration_3_manual_labeling
hadas1975,,,0,0,1,,iteration_3_manual_labeling
owenalterman,,,1,1,1,,iteration_3_manual_labeling
KadoshNaama,,,1,1,1,,iteration_3_manual_labeling
jcbanoun1,,,1,1,1,,iteration_3_manual_labeling
yuvalzaushnicar,,,1,1,1,,iteration_3_manual_labeling
Boaz_Cohen,,,1,1,1,,iteration_3_manual_labeling
orly_segev,,,1,1,1,,iteration_3_manual_labeling
AlexRif3,,,1,1,1,,iteration_3_manual_labeling
matan5677,,,1,1,1,,iteration_3_manual_labeling
HillaTalAvitan,,,1,1,1,,iteration_3_manual_labeling
gilad_only,,,1,0,1,,iteration_3_manual_labeling
storyteller_il,,,1,1,1,,iteration_3_manual_labeling
jtoonkel,,,0,0,1,,iteration_3_manual_labeling
KaplanYermi,,,1,1,1,,iteration_3_manual_labeling
cyd_social,,,0,0,0,,iteration_3_manual_labeling
philvischer,,,0,0,1,,iteration_3_manual_labeling
oritrgmn,,,1,1,1,,iteration_3_manual_labeling
OfraBarOr,,,1,1,1,,iteration_3_manual_labeling
AyaArmoni,,,1,1,1,,iteration_3_manual_labeling
shulibn,,,1,1,1,,iteration_3_manual_labeling
Dachniella,,,1,1,1,,iteration_3_manual_labeling
yafiti,,,1,1,1,,iteration_3_manual_labeling
LiorSchillat,,,1,1,1,,iteration_3_manual_labeling
ramat123,"former chairperson @ b'tselem.
anti apartheid and anti occupation activist. 
opinions here are my own.",israel,1,1,1,ישראלי גר בישראל,auto_agree
andresfidanza,periodista. jefe de redacción de el observador usa (,miami florida ee.uu.,0,0,1,עיתונאי לא מהארץ,auto_agree
halabi_rafik,the mayor of daliat el carmel,daliat el carmel,1,1,1,ראש עיריית דליאת אך כרמל,auto_agree
nayibbukele,philosopher king,el salvador,0,0,1,נשיא אך סלוודור,auto_agree
Gonzalez_Erwin,contador público leal hasta la muerteconfío en el cambio. no hay poder humano eterno. un día a la vez!! cripto mundo! follow me and i follow you!!,,0,0,1,מונצואלה,auto_agree
UK_MTO,official x account for united kingdom maritime trade operations (ukmto).,,0,0,0,עמוד ראשי של UKMTO,auto_agree
US_EUCOM,the official x account of u.s. european command.,stuttgart germany,0,0,0,הפיקוד האירופי של ארצות הברית,auto_agree
AuschwitzMuseum,former german nazi concentration & extermination camp auschwitz. official account. we commemorate victims educate about history & preserve the authentic site.,oświęcim polska,0,0,0,"עמוד הנמחה לקורבנות של מחנה אושוויץ בשואה, הארגון לא בארץ",auto_agree
ASCRM41,"american society of criminology (official x account)

80th annual meeting - washington d.c. - november 12-15 2025",columbus oh,0,0,0,אגודה אמריקאית לקרימינולוגיה,auto_agree
TSA,official x account of the transportation security administration. read our social media policy at,washington dc,0,0,0,רשת אבטחת התעבורה של ארצות הברית,auto_agree
OBEYGIANT,official account of artist/activist shepard fairey. obey discord:,los angeles,0,0,1,אומן לא מהארץ,auto_agree
SonicScrw,"של נעליך מעל רגליך כי הרגע העברתי סמרטוט קיבינימט.
it rubs the lotion on its skin/it gets the hose again",,1,1,1,ישראלית גרה בארץ,auto_agree
usembassyjlm,this is the official account of u.s. embassy jerusalem.,israel,0,0,0,שגרירות ארצות הברית בירושלים,auto_agree
JollyHollywood1,we are all works in progress accept it and move on…,orange county ca,0,0,1,אמריקאי,auto_agree
spikedonline,the magazine that wants to change the world as well as report on it. for humanism democracy and freedom. donate:,,0,0,0,מגזין דמוקרטיה בעולם,auto_agree
yael_pl,"dear reader
you don't have to answer just 'cause they asked you",jerusalem,1,1,1,ישראלית גרה בישראל,auto_agree
Sharon_Luzon,".

who you trying to get crazy with ése?
don't you know i'm loco?

.
.
أَبو الْعَالَمَين
.
مُخَضرَم
.",tel aviv,1,1,1,ישראלי גר בארץ,auto_agree
jasonsfolly,professional faker. amateur human. failed deatheater. tightly-clad space pilot. commie. angel hunter. don't even.,lost,0,0,1,לא מהארץ,auto_agree
Esp_licit,". ultrazen pov.
- your delusions don't constitute my moral obligations -",europe,0,0,1,לא מהארץ,auto_agree
TMZ,breaking pop culture entertainment news as it happens.,los angeles ca,0,0,0,עמוד של חדשות בידור לא בארץ,auto_agree
aion2x,"the greek word for apocalypse is apokálypsis which means ""revelation"" or ""uncovering"". it comes from the words apokalýp(tein) which means ""to uncover reveal""",deep underground military base,0,0,1,לא מהארץ,auto_agree
leigh_or75670,the best way to predict the future is to create it,,1,1,1,ישראלית גרה בארץ,auto_agree
NataliaAntonova,ukrainian-american. writer. advocate for the glorious normie restoration. safer dating now creator. i do osint but i make it girly.,colorado springs co,0,0,1,סופרת מקולורדו,auto_agree
odedmudrik,"שופט סגן נשיא (בדימוס) של ביהמ""ש המחוזי ת""א. פרופסור (בדימוס) אונ' אריאל יועץ מיוחד למשרד ayr רץ ונשיא כבוד בקבוצת הריצה - judge do it.משתתף בקריאת ""הדף היומי""",ישראל,1,1,1,שופט ישראלי גר בארץ,auto_agree
Daniel85401173,"embrace the dissonance let it unfold
challenge the contradictions be bold.
from the clash of thoughts wisdom shall rise
revealing truths that lie disguised",israel,1,1,1,ישראלי גר בארץ,auto_agree
Ortal_Shnitzer,"דיג'אית - dj-it 
מרתוניסטית 42.2km
דוברת עירוני טבריה לשעבר 14/15 
אוהדת הפועל תל אביב",ישראל,1,1,1,ישראלית,auto_agree
marcyrw,democracy will prevail. women won't go back. pro-choice/att'y/prof./texan helping to turn it blue. i stand w. israel and ukraine. i block rape deniers. no dms.,everywhere,0,0,1,תומך ישראל אבל לא מכאן,auto_agree
DASSA0104,you will never fly if you don't trust your own wings,ישראל,1,1,1,ישראלי,auto_agree
Yonatan_Touval,personal account | mitvim the israeli institute for regional foreign policies | words in:,tel aviv,1,1,1,ישראלי שגר בישראל,auto_agree
ramivered,"bring them home
now
bibi go to hell",israel,1,1,1,ישראלי שגר בישראל,auto_agree
SyomabCovid19,"כרגע מתמקד בעיקר בזירת המלחמה שלנו.
כותב על גיאופוליטיקה עולמית.
אוסף מידע מנגיש אותו ומנסה לחבר בין הנקודות.
מתעניין במדערפואה כלכלה היסטוריה וחברה.",ישראל,1,1,1,ישראלי שגר בישראל,auto_agree
tamam231,נשוי לאישה מדהימה אב לתינוקת נפלאה בעלים של כלבה דעתנית. עצמאי רץ למרחקים ארוכים חופר לא מעט אבל על הדברים הנכונים. ספורט מוזיקה אוכל פוליטיקה. החיים.,ישראל,1,1,1,ישראלי שגר בישראל,auto_agree
nivli,"space & tech journalist.
classically trained in journalism ballet and political thought. bylines: walla zdnet. opinions are my own.",israel,1,1,1,ישראלי שגר בישראל,auto_agree
harnevo,entrepreneur. ex co-founder & ceo 5min (acquired by aol) & homeis; president video at aol; board at talkspace and others. new stuff in stealth coming soon…,israel,1,1,1,ישראלי שגר בישראל,auto_agree
HilzFuld,proud zionist/jew global speaker (50+ cities) tech columnist (tc inc vb fastco)/advisor (google microsoft oracle) dad x5. we will dance again!,israel,1,1,1,ישראלי שגר בישראל,auto_agree
orlybarlev,"עיתונאית עצמאית. אקטיביסטית. דמוקרטיה. שחיתות שלטונית. 
independent journalist. activist. democracy. government corruption.
tweets in english",israel,1,1,1,ישראלית שגרה בישראל,auto_agree
tomashinyu3,בשל לסבאות משותפת,יפו,1,1,1,ישראלי שגר בישראל,auto_agree
dana_olmert,מרצה בכירה לספרות באוני׳ ת״א,ישראל / פלסטין,1,1,1,ישראלית שגרה בישראל,auto_agree
AmirKochavi,אבא של אופיר ורותם. ראש עיריית הוד השרון. ומותר ומותר לאהוב.,israel,1,1,1,ישראלי שגר בישראל,auto_agree
morbaram,דוקטור אבל לא לרפואה אמא אבל רק ל2 נס ציונית בנשמה מובילת הקמפיין: תנו לאפרסמון אימוג׳י.,ישראל,1,1,1,ישראלית שגרה בישראל,auto_agree
michalpeylan,email: michalp@ch2news.tv •,ישראל,1,1,1,ישראלית שגרה בישראל,auto_agree
FreifeldRacheli,קופירייטרית נטולת השכלה,,1,1,1,ישראלית שגרה בישראל,auto_agree
CatRobotIL,postdoc,israel,1,1,1,ישראלי שגר בישראל,auto_agree
ruth_elbaz,עובדת בכאן הבעיה של השמאל ודודה לאחיינים,,1,1,1,ישראלית שגרה בישראל,auto_agree
LiorLilush,nbamusichistory and art fan and everything pop culture,,1,1,1,ישראלי שגר בישראל,auto_agree
moshe7749,man of the world,jerusalem israel,1,1,1,ישראלי שגר בישראל,auto_agree
PathofGiving,,israel,1,1,1,מורה לפסנתר ישראלית,auto_agree
adihasid,אוהב אדם אוהב המדינהומוכן להתווכח עם תומכים ומתנגדיםעם מתן כבוד למכבדיי. תחומי עיסוק .   החזרי מס לשכירים   ייעוץ לפרישה  ביטוח.,רחובות ישראל was,1,1,1,ישראלי שגר בישראל,auto_agree
efraimleaf,סרטים מוסיקה (גם ג׳אז) ספרים צילום תרבות אומנות סטרימינג סביבהאוכל אמיתי פרוגליות וצום. דעתי האישית בלבד. מייסד שותף מובילנד בתי קולנוע. תמיד מקווה לטוב,in the matrix,1,1,1,ישראלי שגר בישראל,auto_agree
ShperlingAmir,הכוכב של מחוז גוש דן. תסריטאי. כותב לארץ נהדרת. “לא זה לא יכול להיות שכל העבודה שלך זה לשחק עם אותיות”.,ישראל,1,1,1,ישראלי שגר בישראל,auto_agree
ayakorem,לוחמנית בגבולות סבירים,israel,1,1,1,ישראלית שגרה בישראל,auto_agree
goldens32,מנסה להיות אופטימית,israel,1,1,1,ישראלית שגרה בישראל,auto_agree
TM76361657,gender realist stubborn unbeliever of fairy tales. fact loving israel supporting christian atheist. music travel & animal fan (especially otters).,london england,0,0,1,מלונדון,auto_agree
alonashtrum,if you are not paying for it you are the product.,ישראל,1,1,1,ישראלית,auto_agree
MaestroNirBrand,orchestra conductor performer galey zahal broadcaster educator and humanitarian. performs worldwide.,israel,1,1,1,ישראלי שגר בישראל,auto_agree
RoieLabes,"הסולן הבא של להקת טיפקס.
עומרי קנדה נתן לי חיבוק בשני מקרים שונים. פעמיים כתבתי שאלות ל״20 שאלות״ של הארץ ופעם אחת בתשבץ של דקל בנו.
חפשו 'רועי לבס' בספוטיפיי.",israel,1,1,1,ישראלי גר בישראל,auto_agree
shaulmert,כל העולם השתגע אני הנורמלי היחיד,israel,1,1,1,ישראלי גר בישראל,auto_agree
amsterdamski2,עיתונאי ב-,israel,1,1,1,ישראלי גר בישראל,auto_agree
goraly,עורך הסכתים podcaster,israel,1,1,1,ישראלי גר בישראל,auto_agree
SuperpoweredApp,"the ai copilot for your meetings

for support please email team@superpowered.me",san francisco ca,0,0,0,חברת AI לא מהארץ,auto_agree
bbrode,i,orange county ca,0,0,1,לא מהארץ,auto_agree
Shira_Fridman,אני יודעת שאני יודעת שאני לא יודעת,,1,1,1,ישראלית שגרה בארץ,auto_agree
ashevat,early stage investor.,austin,0,0,1,לא מהארץ,auto_agree
GONENB1,"פעיל חברתי
ממייסדי קריים מיניסטר
עורך דין
ממקימי מערך עוטף עצורים של המחאה
יוצר דוקומנטרי
קמפיין מימון:",ישראל,1,1,1,ישראלי שגר בישראל,auto_agree
itzikdev,אנחנו של ישראל,,1,1,1,ישראלי שגר בישראל,auto_agree
baruchikra,כתב ופרשן חדשות 13 לענייני משפט,ישראל,1,1,1,ישראלי שגר בישראל,auto_agree
irad,music composer of day to day soundtracks. among the hits written: ta na na too doo doo da ta da da dadidaduda tu ta da and more.,los angeles ca,0,0,1,לא מהארץ,auto_agree
hkim14050017,אין דבר פוליטי יותר ממחיר הלחם,ישראל,1,1,1,ישראלית שגרה בישראל,auto_agree
micobz,co founder,israel,1,1,1,ישראלי שגר בישראל,auto_agree
AmitLidor,husband father,israel,1,1,1,ישראלי שגר בישראל,auto_agree
jonattias,father husband entrepreneur | mh fc fan,israel,1,1,1,ישראלי שגר בארץ,auto_agree
noaost,עורכת כותבת מוחקת,,1,1,1,ישראלית שגרה בארץ,auto_agree
MayaKadosh,chief of staff for foreign policy to minster,ישראל,1,1,1,ישראלית שגרה בארץ,auto_agree
JacobsYechiel,defeating anti israel hate with comedy. sharing the truth through laughter and humor!,,0,0,1,,manual_resolution
MikeE_3_14,"dad datascience mathaddict genai llms diffusionmodels gymlover

rightwing liberal anti-socialism anti-islamism russiadelendaest slavaukraine antiwoke",greenland,1,1,1,,manual_resolution
NagrelaEditores,publicamos libros de temática judía en español. nuestro objetivo es fomentar el conocimiento de la historia tradiciones y cultura judía y el estado de israel.,españa,0,0,0,,manual_resolution
IsraelinSV,bienvenidos a nuestra cuenta oficial en twitter del estado de,san salvador el salvador,0,0,0,,manual_resolution
IsraelinBG,official account of the embassy of israel in bulgaria,sofia bulgaria,0,0,0,,manual_resolution
MBD_real,• official account of singer/songwriter mordechai ben david •,sea gate brooklyn,1,0,1,,manual_resolution
