username,bio,location,predicted_class,confidence_level,prob_0,prob_1,prob_2,uncertainty_score,target_population,locals_vs_diaspora,person_vs_organization,comments
abierkhatib,gaza new beginningsmena politics/palestinian/sometimes no thoughtsjust cats /views r absolutely mine.retweet isn't endorsement unless i say so,amman,target,0.3362,0.3359,0.3362,0.3279,0.6638,0,0,0,לא מהארץ
guidoolimpio,journalist/corriere della sera. terrorism mass shooters narcosub cartels intelligence. i love arizona & old west,no location,target,0.3362,0.3359,0.3362,0.3279,0.6638,2,2,1,עיתונאי לא ידוע מאיפה
Valerie_Harper1,we're in it together now | go stanford cardinal | engaging is the highest form of praise,,unknown,0.3367,0.3359,0.3274,0.3367,0.6633,2,0,1,"לא ידוע האם ישראלית, כרגע לא גרה בארץ"
Lem4,"seo director @ similarweb /
all opinions are my own /
it's not a bug it's a feature /
may the 4th be with you",israel,unknown,0.3367,0.3282,0.335,0.3367,0.6633,1,1,1,ישראלית גרה בארץ
The_Shuli_M,if it ain’t broken don’t fix it.. single mom by choice airline pilot atheist liberal lioness. all twitts are my opinion only! follow to be followed..(:,israel,unknown,0.3367,0.3336,0.3296,0.3367,0.6633,1,1,1,ישראלית גרה בארץ
ShaharTzafrir,"emmet: ""i think i got it but just in case tell me the whole thing again i wasn't listening.""",israel,unknown,0.3367,0.3282,0.335,0.3367,0.6633,1,1,1,ישראלי גר בארץ
3rd_call,"my new page after israel’s haters reported the previous one and got it suspended.

״הפודקאסט של רז זאובר״ ביוטיוב ובשאר פלטפורמות הפודקאסטים.",,non_target,0.3369,0.3369,0.335,0.3281,0.6631,2,2,2,משתמש לא נמצא
AmbModiEphraim,ambassador of,,target,0.337,0.3351,0.337,0.3279,0.663,1,1,1,יועץ של הנשיר בישראל
VeraBaboun,ambassador of palestine,santiago chile,target,0.337,0.3351,0.337,0.3279,0.663,0,0,1,לא ישראלית
hnonoo75,former ambassador of,bahrain,target,0.337,0.3351,0.337,0.3279,0.663,0,0,1,שגרירה מהעבר של בחרין
ronenhoffman,former ambassador of,ottawa ontario,target,0.337,0.3351,0.337,0.3279,0.663,1,2,1,שגריר של ישראל מהעבר במדינה אחרת לכן לא ברור איפה מגורר עכשיו
HaimRegev,ambassador of,,target,0.337,0.3351,0.337,0.3279,0.663,1,0,1,שגריר ישראל באירופה
EkalMoses,"christ ambassador||husband||father(a 3 star general)||lead educator||political enthusiast.
son of mary||keekorongole finest.",turkwelkenya,target,0.337,0.3351,0.337,0.3279,0.663,0,0,1,מטורקיה
BenStiller,unhcr goodwill ambassador,red hour films ny-la,target,0.337,0.3351,0.337,0.3279,0.663,0,0,1,לא מישראל
ciguleva,creative ambassador,canada,target,0.337,0.3351,0.337,0.3279,0.663,0,0,1,מקנדה
imserioslyRafi,orthodox jew | conservative | i love my religion i love my family i love my country.,land of the free,unknown,0.3378,0.3302,0.3321,0.3378,0.663,1,0,1,ישראלי שלא גר בישראל
barbendavid,"when nothing as it seems 
you must close your eyes to see 

i love",she\her givat nili  israel,target,0.3389,0.3303,0.3389,0.3308,0.663,1,1,1,ישראלי שגר בישראל
IsraelinLA,#israel,los angeles ca,non_target,0.339,0.339,0.3365,0.3245,0.663,1,0,0,נציגות דיפלומטית של ישראל בלוס אנגלס
boazhepner,rn with a love for israel,los angeles,non_target,0.339,0.339,0.3365,0.3245,0.663,2,0,1,לא ידוע אם ישראלי כוב שאוהב את ישראל אבל השם ישראלי לכן כתבתי 2
GMJuditPolgar,the greatest female chess player of all time ambassador of chess in education european chess legend member of the wchf.,budapest,non_target,0.3391,0.3391,0.3369,0.3239,0.663,0,0,1,לא מישראל
nikolaosvandam,former ambassador of the,the netherlands,non_target,0.3391,0.3391,0.3369,0.3239,0.663,0,0,1,לא ישראלי
MfaEgypt,official account of ambassador tamim khallaf spokesperson for the ministry of foreign affairs of egypt,القاهرة مصر,non_target,0.3391,0.3391,0.3369,0.3239,0.663,0,0,1,לא ישראלי
IRF_Ambassador,official account of the u.s. ambassador advancing,washington dc,non_target,0.3391,0.3391,0.3369,0.3239,0.663,2,2,2,לא יודע אין פרטים
Hamedinai,entrepreneur investor israeli activist • 20yrs in us now back home • married & father x 3 • geopolitics economics tech vc • i get s#it done •,ישראל,target,0.3394,0.328,0.3394,0.3326,0.663,1,1,1,ישראלי
amitharp,“if a w\man is not a socialist by the time \she is 20 s\he has no heart. if s\he is not a socialist by the time s\he is 40 s\he has resigned all hope”,,non_target,0.34,0.34,0.3361,0.3239,0.663,1,2,1,ישראלי לא ידוע איפה מתגורר
1LinePerDay,i see offline people!,שורות - הספר:,target,0.3402,0.3209,0.3402,0.3389,0.663,1,1,1,ישראלי
Shadrack_NBSO,the secret of happiness is freedom the secret of freedom is courage.,,target,0.3402,0.3229,0.3402,0.3368,0.663,0,0,1,לא ישראלי
YNHallak,birds can fly & so can i... rts; not endorsements! see brief profile:,seattle wa,target,0.3402,0.3209,0.3402,0.3389,0.663,0,0,1,
Desert_Eagle_,positivity promoting community ideas freedom of speech discussion on global events and news.,,target,0.3402,0.3398,0.3402,0.32,0.663,0,0,1,
TomCottonAR,u.s. senator for arkansas. for official updates see,dardanelle ar,target,0.3402,0.3209,0.3402,0.3389,0.663,0,0,1,סנאטור אמריקאי
chiproytx,husband father cancer survivor congressman from the great state of texas. freedom works.,austin texas,target,0.3402,0.3229,0.3402,0.3368,0.663,0,0,1,לא ישראלי
Hind_Gaza,i tweet what i see & feel.  this is my only x account - my instagram is deactivated.,gaza strip,target,0.3402,0.3209,0.3402,0.3389,0.663,0,0,1,לא ישראלית
YoniHaimovich,אזרח מודאג מתכנת מוזיקאי יוצר תוכן.,,target,0.3403,0.3318,0.3403,0.3279,0.663,1,1,1,ישראלי
yollancohen,אוהבת את עמי את ארצי ואת יוצר האדם| כתבת חדשות 12,,target,0.3403,0.3318,0.3403,0.3279,0.663,1,1,1,ישראלית כתבת חדשות
NeatManIL,מטייל על הגבול בין גאונות לטמטום,,target,0.3403,0.3318,0.3403,0.3279,0.663,1,1,1,ישראלי
EldadYaronMedia,media | communications | public relations,nyc,target,0.3403,0.3318,0.3403,0.3279,0.663,1,0,1,ישראלי שגר בנויורק
hotnoshboston,hnb has opened up the world of automated dining. @ fenway park td garden bcec brigham hospital childrens hospital brandeis university maimonides school etc.,boston ma,target,0.3403,0.3358,0.3403,0.3239,0.663,0,0,2,לא ידוע אישי או חברה
HaYehudim_Baim,חשבון מעריצים של הסדרה האגדתית מבית כאן 11 (חשבון סאטירי - כל הנאמר כאן נאמר על דעת מפעיל החשבון בלבד) | עקבו גם אחר,ארץ הקודש,target,0.3403,0.3318,0.3403,0.3279,0.663,1,1,0,היהודים באים
CBeyar,כתב כאן חדשות בחיפה והצפון,,target,0.3403,0.3318,0.3403,0.3279,0.663,1,1,1,ישראלי מגיש בכאן 11
snirdesign,"איש חינוך אמן פלסטלינה (פַּסָּלטֵלִינָה)
בוגר האקדמיה לעיצוב ויצו קנדה ומרכז מנדל למנהיגות בנגב כותב ביקורות ספרים.",tel aviv,target,0.3403,0.3318,0.3403,0.3279,0.663,1,1,1,ישראלי
odaskal,עיתונאי | כתבתי ספר | מרצה,tel aviv,target,0.3403,0.3318,0.3403,0.3279,0.663,1,1,1,ישראלי
barakbl,מייסד האשטאג,tel aviv,target,0.3403,0.3318,0.3403,0.3279,0.663,1,1,1,ישראלי
yanivbiton99,יניב ביטון,,target,0.3403,0.3318,0.3403,0.3279,0.663,1,1,1,ישראלי
i24NEWS_AR,"القناة العالمية i24news تبث برامجها بالإنجليزية، العربية والفرنسية من ميناء يافا.",tel-aviv jaffa,target,0.3403,0.3318,0.3403,0.3279,0.663,1,1,0,חדשות 24
LiranHaroni,,,target,0.3403,0.3318,0.3403,0.3279,0.663,1,1,1,ישראלי
P_Klochendler,tv & print journo & doc filmmaker. ex-cnn field producer,,target,0.3403,0.3318,0.3403,0.3279,0.663,1,1,1, ישראלי כתב ב24
frankmelloul,chairman,tel aviv - jaffa,target,0.3403,0.3318,0.3403,0.3279,0.663,1,1,1,יושב ראש 24
hagaigolan101,,,target,0.3403,0.3318,0.3403,0.3279,0.663,1,1,1,ישראלי
LapidusZal86760,"amo el fútbol y la política pero el judaísmo arriba de todo
אוהב פוליטיקה וכדור רגל  אבל יהדות קודמת לכול",,target,0.3403,0.3318,0.3403,0.3279,0.663,2,2,1,לא ידוע אם ישראלי או לא כתוב אוהב פוליטיקה אבל גם כותב בספרדית
isaachaberman,המבין יבין,new york new york,target,0.3403,0.3318,0.3403,0.3279,0.663,2,0,1,לא ידוע האם ישראלי אך ידוע שלא גר בארץ
MOC_Israel,"המשרד אחראי לפיתוח תשתיות התקשורת ואמון על פתיחת שוק התקשורת לתחרות.
עמוד זה אינו מחליף את האופן הרשמי להגשת פניות.",ירושלים,target,0.3403,0.3318,0.3403,0.3279,0.663,1,1,0,משרד התקשורת
gMnukAg0bYx3jAY,מנהלת מחוז הצפון משרד החינוך,,target,0.3403,0.3318,0.3403,0.3279,0.663,1,1,1,ישראלית
OmriBarak,ex tech correspondent,tel-avivisrael,target,0.3403,0.3318,0.3403,0.3279,0.663,1,1,1,ישראלי
bumerit1000,די לאנושות.,,target,0.3403,0.3318,0.3403,0.3279,0.663,1,1,1,ישראלית
MDarabaner,"מראש אני מצהיר שאני טועה.
פנסיונר של מע' הבטחון נכה צהל חובב ממלכת תאילנד. 
 משתדל להיות אדם חיובי",earth,target,0.3403,0.3318,0.3403,0.3279,0.663,1,1,1,ישראלי
ISRAELJAITOVICH,piloto • actor • comediante • productor,mexico,target,0.3403,0.3318,0.3403,0.3279,0.663,2,0,1,קוראים לו ישרא אבל אין סימנים שמזהים שהוא ישראלי לכן כתבתי 2
SpiritRider1,spirit doing her best 2cope with this human exprience,#1ddrive#teamstallion#tmpetal,target,0.3403,0.3318,0.3403,0.3279,0.663,1,1,1,ישראלי
jereisrael,pasión x las motos mis hijas y the lost explorer mezcal. ex piloto profesional dakar rally / ama mx & sx / isde 2007 / cáncer surviver,chile,target,0.3403,0.3358,0.3403,0.3239,0.663,0,0,1,לא ישראלי
YouthViolenceIL,"שמאלני לא שונא את ביבי.
  פשיעה ערבית פרוטקשן רצח על רקע  כבוד המשפחה אובדן ריבונות בנגב ובגליל בניה בלתי חוקית צביעות של חברי כנסת ערבים וחומוס..",gaza,target,0.3403,0.3318,0.3403,0.3279,0.663,0,0,0,ועדה כלשהי בעולם
Meir_Marciano,"//
meirm@assuta.co.il",,target,0.3403,0.3318,0.3403,0.3279,0.663,1,1,1,ישראלי
dorel310,,,target,0.3403,0.3318,0.3403,0.3279,0.663,1,1,1,ישראלי
erezruby,"head of creative - pm bennett's 2021 elections campaign
genai keynote speaker
ai community leader
ai creative business navigator",tel-aviv,target,0.3403,0.3318,0.3403,0.3279,0.663,1,1,1,ישראלי
talibrill,"גרה במדבר אבל גם ברשתמומחית 
לג'ינגול תמידי בין עבודה לשלושה ילדים כלבה וחתולה חובבת חידושים ומשתדלת להיות ידידותית למשתמש וגם לסביבה",,target,0.3403,0.3318,0.3403,0.3279,0.663,1,1,1,ישראלית
guypines,- גיא פינס באתר טוקבק - עדכונים שוטפים של כל הכתבות שקשורות אל גיא פינס ולתוכנית 'ערב טוב עם גיא פינס' - מומלץ!,,target,0.3403,0.3318,0.3403,0.3279,0.663,1,1,0,גיא םינס עדכטנים
hadas1975,"lifecoach mbti profiler i24news wellness correspondent idf reservist 
slowly but surely evolving",,target,0.3403,0.3318,0.3403,0.3279,0.663,0,0,1,לא ישראלית
owenalterman,פרשן מהדורת הצוהריים כתב דסק אמריקה,tel aviv,target,0.3403,0.3318,0.3403,0.3279,0.663,1,1,1,ישראלי
KadoshNaama,journalist i24news,,target,0.3403,0.3318,0.3403,0.3279,0.663,1,1,1,ישראלית
jcbanoun1,journaliste / présentateur du journal chez,tel aviv,target,0.3403,0.3318,0.3403,0.3279,0.663,1,1,1,גר בישראל
yuvalzaushnicar,״זה מורכב״ החל מה-7/10 וכותבת על זה,,target,0.3403,0.3318,0.3403,0.3279,0.663,1,1,1,ישראלית
Boaz_Cohen,שדרן וגם פסנתרן. זה הדף הפרטי והאישי שלי,בבורקס,target,0.3403,0.3318,0.3403,0.3279,0.663,1,1,1,ישראלי
orly_segev,director of special projects at the sagol school of neuroscience,,target,0.3403,0.3358,0.3403,0.3239,0.663,1,1,1,ישראלית
AlexRif3,משוררת פעילה חברתית מנכ״לית לובי המיליון המקדם זכויות של ישראלים דוברי רוסית. יש לי בן זוג מהמם ושלושה קבבונים,tel aviv,target,0.3403,0.3318,0.3403,0.3279,0.663,1,1,1,ישראלית
matan5677,2006 | יו''ר נוער הדמוקרטים | ציוני | דתי | סובל מתסמונת נדירה של מגפון לווריד | את השאר תנחשו,,target,0.3403,0.3318,0.3403,0.3279,0.663,1,1,1,חשבון לא נמצא אך לפי הנתונים פה מוצג כישראלי לכל דבר
HillaTalAvitan,israeli in texas,austin tx,target,0.3403,0.3318,0.3403,0.3279,0.663,1,1,1,ישראלית
gilad_only,ציני מאוד| משפיען תחב״ץ בנכר והסנדק של רג׳י| צייצן הולסום |,,target,0.3403,0.3318,0.3403,0.3279,0.663,1,0,1,ישראלי שלא גר בישראל
storyteller_il,"איש של מילים |
רציני ביום סטוריטלר בלילה | חפירות וסיפורים |
מקסימום נגיד שהכרנו בטינדר",,target,0.3403,0.3318,0.3403,0.3279,0.663,1,1,1,ישראלי
jtoonkel,deputy media editor the wall street journal. jessica.toonkel@wsj.com. rts not endorsements. dms open,new york,target,0.3403,0.3358,0.3403,0.3239,0.663,0,0,1,לא ישראלית
KaplanYermi,אמן יוצר מוסיקאי הופך שולחנות הוגה דעות וחייב פודקאסט רשמי,,target,0.3403,0.3318,0.3403,0.3279,0.663,1,1,1,מוסיקאי ישראלי
cyd_social,hi my name is cyd! i can help you claw back your data from big tech starting with deleting all your tweets for free,,target,0.3403,0.3318,0.3403,0.3279,0.663,0,0,0,לא ישראלי חברה לשחזור נתונים
philvischer,filmmaker,west chicago il,target,0.3403,0.3318,0.3403,0.3279,0.663,0,0,1,
oritrgmn,סטודנטית לגיאופיזיקה בת״א. אוהבת יחידות שמות של עננים וצ׳יפס מתובל,,target,0.3403,0.3318,0.3403,0.3279,0.663,1,1,1,ישראלית
OfraBarOr,ceramic &mandala artist,tel aviv,target,0.3403,0.3318,0.3403,0.3279,0.663,1,1,1,ישראלית
AyaArmoni,תל אביבית מרמת גן,,target,0.3403,0.3318,0.3403,0.3279,0.663,1,1,1,ישראלית
shulibn,,,target,0.3403,0.3318,0.3403,0.3279,0.663,1,1,1,ישראלית
Dachniella,מוכיחה שזה לא מאוחר מידי להיות פאנגירל בעשור הרביעי לחיי.,tlv (not the show),target,0.3403,0.3358,0.3403,0.3239,0.663,1,1,1,ישראלית
yafiti,אמא לשני פושעים קטנים מנתחת מערכות ביום סקראפרית מכורה בלילה וגם מעבירה סדנאות שוות אלופת המזרח התיכון במציאת דברים לא חשובים בגוגל,tel aviv,target,0.3403,0.3318,0.3403,0.3279,0.663,1,1,1,ישראלית
LiorSchillat,"מנכ""ל משרד האנרגיה לשעבר מתעניין בכלכלה אנרגיה תחבורה ירושלים חרדים וגיאופוליטיקה. ירושלמי בלב (וגם בתז)",jerusalem,target,0.3403,0.3318,0.3403,0.3279,0.663,1,1,1,ישראלי מנכל משרד האנרגיה לשעבר
